,State,Year,Total_Registered_Users,Prev_Year_Users,YoY_Growth_Percentage
94,jammu-&-kashmir,2021,10505510,7219086,45.52
95,jammu-&-kashmir,2022,13395018,10505510,27.50
96,jammu-&-kashmir,2023,15931568,13395018,18.94
97,jammu-&-kashmir,2024,25852258,15931568,62.27
98,jharkhand,2018,11125344,,
99,jharkhand,2019,22162130,11125344,99.20
100,jharkhand,2020,34220786,22162130,54.41
101,jharkhand,2021,47525182,34220786,38.88
102,jharkhand,2022,61011032,47525182,28.38
103,jharkhand,2023,73315764,61011032,20.17
104,jharkhand,2024,89207634,73315764,21.68
105,karnataka,2018,46873758,,
106,karnataka,2019,102509504,46873758,118.69
107,karnataka,2020,157120156,102509504,53.27
108,karnataka,2021,213841444,157120156,36.10
109,karnataka,2022,269214976,213841444,25.89
110,karnataka,2023,318939052,269214976,18.47
111,karnataka,2024,358849582,318939052,12.51
112,kerala,2018,9911390,,
113,kerala,2019,22363384,9911390,125.63
114,kerala,2020,41553258,22363384,85.81
115,kerala,2021,61552522,41553258,48.13
116,kerala,2022,77461822,61552522,25.85
117,kerala,2023,91628362,77461822,18.29
118,kerala,2024,105045412,91628362,14.64
119,ladakh,2018,126668,,
120,ladakh,2019,294892,126668,132.81
121,ladakh,2020,448156,294892,51.97
122,ladakh,2021,626468,448156,39.79
123,ladakh,2022,797290,626468,27.27
124,ladakh,2023,943980,797290,18.40
125,ladakh,2024,1305284,943980,38.27
126,lakshadweep,2018,6522,,
127,lakshadweep,2019,15414,6522,136.34
128,lakshadweep,2020,27564,15414,78.82
129,lakshadweep,2021,40796,27564,48.00
130,lakshadweep,2022,51846,40796,27.09
131,lakshadweep,2023,61978,51846,19.54
132,lakshadweep,2024,81274,61978,31.13
133,madhya-pradesh,2018,31340032,,
134,madhya-pradesh,2019,62122960,31340032,98.22
135,madhya-pradesh,2020,95655930,62122960,53.98
136,madhya-pradesh,2021,132893676,95655930,38.93
137,madhya-pradesh,2022,170441416,132893676,28.25
