,Year,Total_Transactions,YoY_Growth_%
0,2020,1576516,
1,2021,3166564,100.8583484087697175290323726
2,2022,6180232,95.17154871968480662320420490
3,2023,7972374,28.99797289163254712768064370
4,2024,10135688,27.13512938555065279175312150
