,State,Year,Total_Transactions,Total_Amount
110,karnataka,2023,17692522362,22950167290234.0
111,karnataka,2024,25109285044,30658611456500.0
112,kerala,2018,23049094,38719969114.46198
113,kerala,2019,71075196,121695078111.80875
114,kerala,2020,174136712,298529141216.99994
115,kerala,2021,468718764,737032150629.0891
116,kerala,2022,907939318,1261010999857.9165
117,kerala,2023,1308587852,1693503390912.0
118,kerala,2024,1648288664,2002047598416.0
119,ladakh,2018,162348,558963159.8926797
120,ladakh,2019,584038,2135868630.336971
121,ladakh,2020,1663570,5697767293.327844
122,ladakh,2021,3792610,13556397582.864113
123,ladakh,2022,8044636,24136072039.78266
124,ladakh,2023,22565290,52467368744.0
125,ladakh,2024,41879258,79436806750.0
126,lakshadweep,2018,12510,33837333.46097392
127,lakshadweep,2019,24552,77900658.97004041
128,lakshadweep,2020,65220,163726883.77237165
129,lakshadweep,2021,98618,288455191.59836364
130,lakshadweep,2022,132708,426525835.75254446
131,lakshadweep,2023,343348,795335686.0
132,lakshadweep,2024,1091032,1432859980.0
133,madhya-pradesh,2018,114222694,165322069495.52997
134,madhya-pradesh,2019,399778924,597538188369.4135
135,madhya-pradesh,2020,835879482,1529272232964.3374
136,madhya-pradesh,2021,2282129192,3860669637347.902
137,madhya-pradesh,2022,5295381428,7901196457452.492
138,madhya-pradesh,2023,7327422472,9857584856690.0
139,madhya-pradesh,2024,11889537926,14338975423734.0
140,maharashtra,2018,232603070,379696850559.8593
141,maharashtra,2019,1052450246,1474654193105.8105
142,maharashtra,2020,2199333540,3357634647444.5127
143,maharashtra,2021,5790164576,8639236372145.802
144,maharashtra,2022,11504408480,15691443366297.42
145,maharashtra,2023,17549655318,21636955263452.0
146,maharashtra,2024,25641802234,29568770682938.0
147,manipur,2018,1322316,2740541398.69967
148,manipur,2019,2634372,6894275374.450303
149,manipur,2020,9899778,32031454546.02346
150,manipur,2021,28037290,76050897087.9851
151,manipur,2022,48401446,120149597358.32864
152,manipur,2023,15686664,46916105288.0
153,manipur,2024,40718814,87748399006.0
154,meghalaya,2018,777700,1461388536.3415968
155,meghalaya,2019,2227116,4493247050.408933
156,meghalaya,2020,4978530,10630343137.656435
157,meghalaya,2021,8390328,21733796769.18912
158,meghalaya,2022,24022024,57087343413.37378
159,meghalaya,2023,45080286,92898077746.0
160,meghalaya,2024,91794854,136783605762.0
161,mizoram,2018,280340,871526432.3768903
162,mizoram,2019,738620,2227321708.2364926
163,mizoram,2020,1858762,5087474607.9810295
164,mizoram,2021,3511546,10936788903.96605
165,mizoram,2022,5203412,15865044456.10231
166,mizoram,2023,10145332,25588799666.0
167,mizoram,2024,17333488,31627251046.0
168,nagaland,2018,684296,1722275358.897405
169,nagaland,2019,1872760,4895004009.266042
170,nagaland,2020,4959522,13630377093.599304
171,nagaland,2021,10189926,30380490161.07397
172,nagaland,2022,16655198,47239207874.56179
173,nagaland,2023,25654162,68253344518.0
174,nagaland,2024,49521622,94596484496.0
175,odisha,2018,130325836,119280655795.30644
176,odisha,2019,339923742,434511867587.29364
177,odisha,2020,524139324,968912883260.6842
178,odisha,2021,1309145470,2296587244577.1367
179,odisha,2022,2818974332,4356049891968.834
180,odisha,2023,4764057992,6744782471056.0
181,odisha,2024,7950488208,9607839088820.0
182,puducherry,2018,1465416,2989953663.63995
183,puducherry,2019,5621300,11021313219.537289
184,puducherry,2020,13376418,25387829809.345978
185,puducherry,2021,37102710,63103541001.065056
186,puducherry,2022,61203434,95717485498.94199
187,puducherry,2023,93280850,126156248304.0
188,puducherry,2024,121160466,150257777312.0
189,punjab,2018,25601682,50626200108.664665
190,punjab,2019,80174808,170169802497.32214
191,punjab,2020,139013152,311114676290.9641
192,punjab,2021,307669864,649849265472.6677
193,punjab,2022,612088404,1146324549318.9673
194,punjab,2023,977182572,1612110594432.0
195,punjab,2024,1403094512,2025960531734.0
196,rajasthan,2018,105564416,172870470122.07217
197,rajasthan,2019,492686370,844338343659.636
198,rajasthan,2020,1087171158,2127569195126.4749
199,rajasthan,2021,2856228616,5335282187827.377
200,rajasthan,2022,5718497156,9740659310594.95
201,rajasthan,2023,9162520690,14239948027134.0
202,rajasthan,2024,14794407390,20225803598054.0
203,sikkim,2018,763378,1653131219.0034707
204,sikkim,2019,3896074,6516227855.833362
205,sikkim,2020,4754638,10856595187.977982
206,sikkim,2021,9043684,23657374863.920444
207,sikkim,2022,19042960,43199605758.96364
208,sikkim,2023,34942712,64081528700.0
209,sikkim,2024,59278238,87926340296.0
210,tamil-nadu,2018,109900544,208039136381.724
211,tamil-nadu,2019,324906752,605124365996.1476
212,tamil-nadu,2020,600562218,1125421616151.859
213,tamil-nadu,2021,1492456992,2642173521097.8643
214,tamil-nadu,2022,2957785796,4820985634487.477
215,tamil-nadu,2023,4218416828,6395844308472.0
216,tamil-nadu,2024,5888742944,8074849462710.0
217,telangana,2018,135082586,235729174587.93518
218,telangana,2019,879937430,1467752983792.5352
219,telangana,2020,1862961162,3790374407406.952
220,telangana,2021,4614632390,8938729825274.691
221,telangana,2022,10795016350,18613262286028.543
222,telangana,2023,14003261062,22114704090260.0
223,telangana,2024,20058478204,28151358492802.0
224,tripura,2018,2376956,2907239241.503593
225,tripura,2019,5254050,7662988015.077227
226,tripura,2020,9893594,17763810404.823334
227,tripura,2021,15715490,33329118326.62124
228,tripura,2022,31489246,64453850858.900764
229,tripura,2023,68595804,118553066194.0
230,tripura,2024,108351852,156496743798.0
231,uttar-pradesh,2018,185729742,263538061128.16666
232,uttar-pradesh,2019,543473936,864497526974.0677
233,uttar-pradesh,2020,1007327746,1914558466584.6455
234,uttar-pradesh,2021,2318299988,4418863776192.204
235,uttar-pradesh,2022,5218420330,8896774419010.654
236,uttar-pradesh,2023,10270592304,15185495731112.0
237,uttar-pradesh,2024,17503363408,22226696388798.0
238,uttarakhand,2018,16717400,27138291829.7946
239,uttarakhand,2019,46863736,76149600802.7211
240,uttarakhand,2020,95223520,172297036516.4109
241,uttarakhand,2021,232024796,387909224435.44385
242,uttarakhand,2022,489416098,734858920590.2621
243,uttarakhand,2023,813000032,1036197250732.0
244,uttarakhand,2024,1224429012,1398426819122.0
245,west-bengal,2018,240023270,223177430834.45267
246,west-bengal,2019,515801180,532029013228.9542
247,west-bengal,2020,608444654,1105463168578.1655
248,west-bengal,2021,1333788074,2694094244105.3896
249,west-bengal,2022,2677774436,5385054750026.409
250,west-bengal,2023,4749284918,8454283743974.0
251,west-bengal,2024,8257882842,12774226268080.0
